extension;nom du BE;nom du titulaire;contact techC;contact adminC
.fr;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
.re;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
.pm;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
.tf;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
.wf;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
.yt;AFNIC-OP;NFC19-FRNIC;NFC19-FRNIC;NFC19-FRNIC
